authorMeta/fans,authorMeta/name,authorMeta/privateAccount,authorMeta/verified,collectCount,commentCount,diggCount,playCount,shareCount,textLanguage,videoMeta/duration,hashtags,year,month,day,weekday,hour,hashtags_split
1763,carol.reads.books,False,False,2,3,36,339,1,en,98,"greenscreensticker, bookreview, jodipicoult, shakespeare, fraud, historicalromance, fable, womeninhistory, theatre, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2025,4,14,Monday,23,"['greenscreensticker', ' bookreview', ' jodipicoult', ' shakespeare', ' fraud', ' historicalromance', ' fable', ' womeninhistory', ' theatre', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
35900,tiffanypreads,False,False,1,5,62,1383,1,en,20,"no_hashtag, fablepartner, booktok, booklover, bookish, bookreview, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2025,5,3,Saturday,14,"['nan', ' fablepartner', ' booktok', ' booklover', ' bookish', ' bookreview', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
135,just1morechapterpodcast,False,False,3,2,20,1201,4,en,48,"no_hashtag, fable, bookrecommendations, bookclubtiktok, bookclub, onlinebookclubs, bookapp, bookreivew, bookpodcast, booktok, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2024,11,28,Thursday,22,"['nan', ' fable', ' bookrecommendations', ' bookclubtiktok', ' bookclub', ' onlinebookclubs', ' bookapp', ' bookreivew', ' bookpodcast', ' booktok', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
2821,alyssatex,False,False,134,68,685,41900,66,en,299,"no_hashtag, booktracker, booktrackerapp, bookish, booktokclub, booktiktok, booktiktoker, greenscreen, creatorsearchinsights, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2024,12,10,Tuesday,23,"['nan', ' booktracker', ' booktrackerapp', ' bookish', ' booktokclub', ' booktiktok', ' booktiktoker', ' greenscreen', ' creatorsearchinsights', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
3958,thebookcritic_,False,False,886,384,5430,86200,188,en,204,"booktok, books, bookish, goodreads, storygraph, fable, bookreviews, bookrating, reading, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2024,12,15,Sunday,13,"['booktok', ' books', ' bookish', ' goodreads', ' storygraph', ' fable', ' bookreviews', ' bookrating', ' reading', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
21800,getfable,False,False,2,2,69,38200,0,en,9,"booktok, books, bookish, goodreads, storygraph, fable, bookreviews, bookrating, reading, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2024,12,16,Monday,16,"['booktok', ' books', ' bookish', ' goodreads', ' storygraph', ' fable', ' bookreviews', ' bookrating', ' reading', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
1924,summerbakerreads,False,False,122,52,405,32600,33,en,552,"booktok, readinggoal, tbr, booktracking, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2025,1,2,Thursday,5,"['booktok', ' readinggoal', ' tbr', ' booktracking', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
2358,gahlfalkner,False,False,0,2,11,211,0,en,209,"bookclubtiktok, fableapp, bookofazreal, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2025,4,5,Saturday,23,"['bookclubtiktok', ' fableapp', ' bookofazreal', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
1358,sarah.pilon.books,False,False,4,12,40,4681,1,en,22,"booktok, fable, fablebook, books, reader, goodreads, fablereview, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2024,12,8,Sunday,18,"['booktok', ' fable', ' fablebook', ' books', ' reader', ' goodreads', ' fablereview', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
5105,melaniegrace91,False,False,0,10,33,776,0,en,176,"no_hashtag, no_hashtag, no_hashtag, no_hashtag, books, bookclubs, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag, no_hashtag",2023,1,7,Saturday,2,"['nan', ' nan', ' nan', ' nan', ' books', ' bookclubs', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan', ' nan']"
